rate,date,pctl12_5,pctl87_5,volume,alternativeCalculation,alternativeCalculationReason,publicationTime,republication,numberOfTransactions,numberOfAgents
-0.104,2021-09-01,-0.2,0.0,32942.0,False,,2021-09-02T09:00:00Z,False,39.0,6.0
-0.096,2021-09-02,-0.15,0.0,30762.0,False,,2021-09-03T09:00:00Z,False,40.0,6.0
-0.101,2021-09-03,-0.2,0.0,29849.0,False,,2021-09-06T09:00:00Z,False,41.0,6.0
-0.109,2021-09-06,-0.2,0.0,31594.0,False,,2021-09-07T09:00:00Z,False,40.0,5.0
-0.104,2021-09-07,-0.2,0.0,27221.0,False,,2021-09-08T09:00:00Z,False,35.0,5.0
-0.1,2021-09-08,-0.15,0.0,28636.0,False,,2021-09-09T09:00:00Z,False,39.0,4.0
-0.11,2021-09-09,-0.16,0.0,32349.0,False,,2021-09-10T09:00:00Z,False,40.0,6.0
-0.108,2021-09-10,-0.16,-0.1,40292.0,False,,2021-09-13T09:00:00Z,False,42.0,6.0
-0.102,2021-09-13,-0.15,-0.1,51470.0,False,,2021-09-14T09:00:00Z,False,39.0,6.0
-0.1,2021-09-14,-0.1,-0.1,51667.0,False,,2021-09-15T09:00:00Z,False,37.0,5.0
-0.115,2021-09-15,-0.16,-0.1,40349.0,False,,2021-09-16T09:00:00Z,False,39.0,5.0
-0.113,2021-09-16,-0.16,0.0,34799.0,False,,2021-09-17T09:00:00Z,False,43.0,6.0
-0.112,2021-09-17,-0.16,-0.1,37916.0,False,,2021-09-20T09:00:00Z,False,41.0,6.0
-0.112,2021-09-20,-0.16,-0.1,35440.0,False,,2021-09-21T09:00:00Z,False,40.0,6.0
-0.112,2021-09-21,-0.16,-0.1,38986.0,False,,2021-09-22T09:00:00Z,False,37.0,5.0
-0.103,2021-09-22,-0.15,-0.1,45458.0,False,,2021-09-23T09:00:00Z,False,39.0,6.0
-0.103,2021-09-23,-0.16,-0.1,38083.0,False,,2021-09-24T09:00:00Z,False,48.0,6.0
-0.106,2021-09-24,-0.16,-0.1,33974.0,False,,2021-09-27T09:00:00Z,False,51.0,6.0
-0.106,2021-09-27,-0.16,-0.1,35969.0,False,,2021-09-28T09:00:00Z,False,45.0,6.0
-0.107,2021-09-28,-0.16,-0.1,34311.0,False,,2021-09-29T09:00:00Z,False,48.0,6.0
-0.106,2021-09-29,-0.16,-0.1,34384.0,False,,2021-09-30T09:00:00Z,False,45.0,6.0
-0.111,2021-09-30,-0.16,-0.1,39714.0,False,,2021-10-01T09:00:00Z,False,47.0,6.0
-0.109,2021-10-01,-0.19,-0.1,35103.0,False,,2021-10-04T09:00:00Z,False,43.0,6.0
-0.102,2021-10-04,-0.16,0.0,37261.0,False,,2021-10-05T09:00:00Z,False,41.0,6.0
-0.101,2021-10-05,-0.16,0.0,31628.0,False,,2021-10-06T09:00:00Z,False,40.0,6.0
-0.104,2021-10-06,-0.16,0.0,30583.0,False,,2021-10-07T09:00:00Z,False,38.0,6.0
-0.106,2021-10-07,-0.16,0.0,31881.0,False,,2021-10-08T09:00:00Z,False,37.0,6.0
-0.113,2021-10-08,-0.16,0.0,28598.0,False,,2021-10-11T09:00:00Z,False,39.0,6.0
-0.115,2021-10-11,-0.16,0.0,30743.0,False,,2021-10-12T09:00:00Z,False,40.0,6.0
-0.115,2021-10-12,-0.2,0.0,29766.0,False,,2021-10-13T09:00:00Z,False,38.0,6.0
-0.118,2021-10-13,-0.2,0.0,27893.0,False,,2021-10-14T09:00:00Z,False,34.0,6.0
-0.107,2021-10-14,-0.16,0.0,24729.0,False,,2021-10-15T09:00:00Z,False,35.0,6.0
-0.105,2021-10-15,-0.2,0.0,24740.0,False,,2021-10-18T09:00:00Z,False,36.0,5.0
-0.109,2021-10-18,-0.2,0.0,14695.0,False,,2021-10-19T09:00:00Z,False,27.0,4.0
-0.108,2021-10-19,-0.2,0.0,30499.0,False,,2021-10-20T09:00:00Z,False,40.0,5.0
-0.105,2021-10-20,-0.16,-0.07,38920.0,False,,2021-10-21T09:00:00Z,False,43.0,7.0
-0.108,2021-10-21,-0.2,-0.07,37468.0,False,,2021-10-22T09:00:00Z,False,44.0,7.0
-0.109,2021-10-22,-0.2,-0.07,39922.0,False,,2021-10-25T09:00:00Z,False,53.0,6.0
-0.11,2021-10-25,-0.2,-0.07,45014.0,False,,2021-10-26T09:00:00Z,False,58.0,7.0
-0.108,2021-10-26,-0.16,-0.07,41876.0,False,,2021-10-27T09:00:00Z,False,54.0,7.0
-0.11,2021-10-27,-0.16,-0.07,41728.0,False,,2021-10-28T09:00:00Z,False,48.0,7.0
-0.109,2021-10-28,-0.16,-0.07,40087.0,False,,2021-10-29T09:00:00Z,False,49.0,7.0
-0.099,2021-10-29,-0.16,0.0,39178.0,False,,2021-11-01T10:00:00Z,False,46.0,6.0
-0.103,2021-11-01,-0.16,0.0,34385.0,False,,2021-11-02T10:00:00Z,False,39.0,6.0
-0.111,2021-11-02,-0.2,-0.07,34015.0,False,,2021-11-03T10:00:00Z,False,43.0,7.0
-0.115,2021-11-03,-0.2,-0.1,33484.0,False,,2021-11-04T10:00:00Z,False,42.0,5.0
-0.119,2021-11-04,-0.2,-0.1,33212.0,False,,2021-11-05T10:00:00Z,False,35.0,5.0
-0.118,2021-11-05,-0.2,-0.1,32997.0,False,,2021-11-08T10:00:00Z,False,39.0,6.0
-0.116,2021-11-08,-0.2,0.0,31427.0,False,,2021-11-09T10:00:00Z,False,36.0,6.0
-0.114,2021-11-09,-0.2,0.0,31850.0,False,,2021-11-10T10:00:00Z,False,34.0,5.0
-0.12,2021-11-10,-0.2,0.0,28073.0,False,,2021-11-11T10:00:00Z,False,32.0,5.0
-0.124,2021-11-11,-0.2,-0.1,32674.0,False,,2021-11-12T10:00:00Z,False,36.0,5.0
-0.115,2021-11-12,-0.2,-0.1,48402.0,False,,2021-11-15T10:00:00Z,False,36.0,5.0
-0.108,2021-11-15,-0.17,-0.1,48305.0,False,,2021-11-16T10:00:00Z,False,38.0,6.0
